SCEN_ID	noise_type	sd	true_sd	alpha	D_rate	L_rate	H_rate	S_count	D_count	L_count	H_count	ancient_dupl	epsilon	BMG_size	RBMG_size	possible_edges_BMG	BMG_eps_order	BMG_eps_size	BMG_eps_tp	BMG_eps_tn	BMG_eps_fp	BMG_eps_fn	BMG_eps_acc	BMG_eps_prec	BMG_eps_recall	RBMG_eps_order	RBMG_eps_size	RBMG_eps_tp	RBMG_eps_tn	RBMG_eps_fp	RBMG_eps_fn	RBMG_eps_acc	RBMG_eps_prec	RBMG_eps_recall	BMG_nj_order	BMG_nj_size	BMG_nj_tp	BMG_nj_tn	BMG_nj_fp	BMG_nj_fn	BMG_nj_acc	BMG_nj_prec	BMG_nj_recall	RBMG_nj_order	RBMG_nj_size	RBMG_nj_tp	RBMG_nj_tn	RBMG_nj_fp	RBMG_nj_fn	RBMG_nj_acc	RBMG_nj_prec	RBMG_nj_recall	BMG_qd_order	BMG_qd_size	BMG_qd_tp	BMG_qd_tn	BMG_qd_fp	BMG_qd_fn	BMG_qd_acc	BMG_qd_prec	BMG_qd_recall	RBMG_qd_order	RBMG_qd_size	RBMG_qd_tp	RBMG_qd_tn	RBMG_qd_fp	RBMG_qd_fn	RBMG_qd_acc	RBMG_qd_prec	RBMG_qd_recall	BMG_qd2_order	BMG_qd2_size	BMG_qd2_tp	BMG_qd2_tn	BMG_qd2_fp	BMG_qd2_fn	BMG_qd2_acc	BMG_qd2_prec	BMG_qd2_recall	RBMG_qd2_order	RBMG_qd2_size	RBMG_qd2_tp	RBMG_qd2_tn	RBMG_qd2_fp	RBMG_qd2_fn	RBMG_qd2_acc	RBMG_qd2_prec	RBMG_qd2_recall	time_eps	time_nj	time_qd	time_qd2
2	no_bias	0.05	0.011732594710043537	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.013161659240722656	0.008411169052124023	0.009407520294189453	0.010861396789550781
3	no_bias	0.05	0.043182452233191705	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.009415388107299805	0.010159492492675781	0.010764360427856445	0.01043844223022461
2	no_bias	0.1	0.07516836279488778	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.011850595474243164	0.008625507354736328	0.009700298309326172	0.010964632034301758
3	no_bias	0.1	0.1057505866843843	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.011243343353271484	0.008667707443237305	0.011213064193725586	0.010927677154541016
2	no_bias	0.2	0.126724124428015	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.010537385940551758	0.008595466613769531	0.01109004020690918	0.010396957397460938
3	no_bias	0.2	0.0857891129618603	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.01003265380859375	0.01083827018737793	0.010362625122070312	0.011764049530029297
2	no_bias	0.3	0.3682508846240778	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.011636972427368164	0.009162664413452148	0.00944209098815918	0.010730504989624023
3	no_bias	0.3	0.24689731910722085	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.01143956184387207	0.008089303970336914	0.010133743286132812	0.009413719177246094
2	no_bias	0.5	0.4383581895670535	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.012049436569213867	0.010018110275268555	0.010458707809448242	0.009895086288452148
3	no_bias	0.5	0.30844951535656806	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.01172947883605957	0.008631706237792969	0.009137153625488281	0.010397195816040039
